;301_high;301_high;301_high;301_high;301_high;301_high;301_high;301_high;301_high;301_high;301_high;301_high;301_low;301_low;301_low;301_low;301_low;301_low;301_low;301_low;301_low;301_low;301_low;301_low;301_med;301_med;301_med;301_med;301_med;301_med;301_med;301_med;301_med;301_med;301_med;301_med;301_mean;301_mean;301_mean;301_mean;301_mean;301_mean;301_mean;301_mean;301_mean;301_mean;301_mean;542_high;542_high;542_high;542_high;542_high;542_high;542_high;542_high;542_high;542_high;542_high;542_high;542_low;542_low;542_low;542_low;542_low;542_low;542_low;542_low;542_low;542_low;542_low;542_low;542_med;542_med;542_med;542_med;542_med;542_med;542_med;542_med;542_med;542_med;542_med;542_med;542_mean;542_mean;542_mean;542_mean;542_mean;542_mean;542_mean;542_mean;542_mean;542_mean;542_mean;508_high;508_high;508_high;508_high;508_high;508_high;508_high;508_high;508_high;508_high;508_high;508_high;508_low;508_low;508_low;508_low;508_low;508_low;508_low;508_low;508_low;508_low;508_low;508_low;508_med;508_med;508_med;508_med;508_med;508_med;508_med;508_med;508_med;508_med;508_med;508_med;508_mean;508_mean;508_mean;508_mean;508_mean;508_mean;508_mean;508_mean;508_mean;508_mean;508_mean;515_high;515_high;515_high;515_high;515_high;515_high;515_high;515_high;515_high;515_high;515_high;515_high;515_low;515_low;515_low;515_low;515_low;515_low;515_low;515_low;515_low;515_low;515_low;515_low;515_med;515_med;515_med;515_med;515_med;515_med;515_med;515_med;515_med;515_med;515_med;515_med;515_mean;515_mean;515_mean;515_mean;515_mean;515_mean;515_mean;515_mean;515_mean;515_mean;515_mean
;date;sigma_sentinel_vv;sigma_sentinel_vh;theta;relativeorbit;orbitdirection;satellite;LAI;SM;Height;VWC;vh/vv;date;sigma_sentinel_vv;sigma_sentinel_vh;theta;relativeorbit;orbitdirection;satellite;LAI;SM;Height;VWC;vh/vv;date;sigma_sentinel_vv;sigma_sentinel_vh;theta;relativeorbit;orbitdirection;satellite;LAI;SM;Height;VWC;vh/vv;date;LAI;Height;VWC;SM;sigma_sentinel_vv;sigma_sentinel_vh;relativeorbit;orbitdirection;satellite;theta;date;sigma_sentinel_vv;sigma_sentinel_vh;theta;relativeorbit;orbitdirection;satellite;LAI;SM;Height;VWC;vh/vv;date;sigma_sentinel_vv;sigma_sentinel_vh;theta;relativeorbit;orbitdirection;satellite;LAI;SM;Height;VWC;vh/vv;date;sigma_sentinel_vv;sigma_sentinel_vh;theta;relativeorbit;orbitdirection;satellite;LAI;SM;Height;VWC;vh/vv;date;LAI;Height;VWC;SM;sigma_sentinel_vv;sigma_sentinel_vh;relativeorbit;orbitdirection;satellite;theta;date;sigma_sentinel_vv;sigma_sentinel_vh;theta;relativeorbit;orbitdirection;satellite;LAI;SM;Height;VWC;vh/vv;date;sigma_sentinel_vv;sigma_sentinel_vh;theta;relativeorbit;orbitdirection;satellite;LAI;SM;Height;VWC;vh/vv;date;sigma_sentinel_vv;sigma_sentinel_vh;theta;relativeorbit;orbitdirection;satellite;LAI;SM;Height;VWC;vh/vv;date;LAI;Height;VWC;SM;sigma_sentinel_vv;sigma_sentinel_vh;relativeorbit;orbitdirection;satellite;theta;date;sigma_sentinel_vv;sigma_sentinel_vh;theta;relativeorbit;orbitdirection;satellite;LAI;SM;Height;VWC;vh/vv;date;sigma_sentinel_vv;sigma_sentinel_vh;theta;relativeorbit;orbitdirection;satellite;LAI;SM;Height;VWC;vh/vv;date;sigma_sentinel_vv;sigma_sentinel_vh;theta;relativeorbit;orbitdirection;satellite;LAI;SM;Height;VWC;vh/vv;date;LAI;Height;VWC;SM;sigma_sentinel_vv;sigma_sentinel_vh;relativeorbit;orbitdirection;satellite;theta
0;2017-03-24 05:17:15;0.0748;0.0141;42.6126;95;DESCENDING;S1B;0.6413;0.6789;11.8958;0.3003;0.1885;2017-03-24 05:17:15;0.0706;0.0126;42.8455;95;DESCENDING;S1B;0.4747;0.3345;10.0000;0.2879;0.1782;2017-03-24 05:17:15;0.0802;0.0133;43.4995;95;DESCENDING;S1B;0.8559;0.1924;11.1562;0.4357;0.1655;2017-03-24 05:17:15;0.6852;11.0174;0.3391;0.4019;0.0752;0.0133;95;DESCENDING;S1B;42.9858;2017-03-24 05:17:15;0.0908;0.0103;45.1200;95;DESCENDING;S1B;0.3722;0.8005;9.1562;0.0413;0.1129;2017-03-24 05:17:15;0.0679;0.0108;43.0521;95;DESCENDING;S1B;0.3710;0.5469;7.2083;0.0121;0.1594;2017-03-24 05:17:15;0.0820;0.0093;43.1479;95;DESCENDING;S1B;0.4220;0.3051;9.8958;0.2191;0.1130;2017-03-24 05:17:15;0.4447;8.7535;0.0991;0.5508;0.0803;0.0101;95;DESCENDING;S1B;43.7733;2017-03-24 05:17:15;0.0979;0.0113;44.5586;95;DESCENDING;S1B;0.5832;0.6545;14.0000;0.3299;0.1151;2017-03-24 05:17:15;0.0594;0.0154;44.7728;95;DESCENDING;S1B;0.4367;0.4168;11.1562;0.3115;0.2596;2017-03-24 05:17:15;0.1039;0.0133;44.8151;95;DESCENDING;S1B;0.4602;;12.0521;0.1655;0.1281;2017-03-24 05:17:15;0.6406;12.4027;0.3067;0.5357;0.0871;0.0133;95;DESCENDING;S1B;44.7155;2017-03-24 05:17:15;0.0619;0.0088;46.9373;95;DESCENDING;S1B;;;;;0.1419;2017-03-24 05:17:15;0.0566;0.0102;44.6516;95;DESCENDING;S1B;;;;;0.1808;2017-03-24 05:17:15;0.0375;0.0081;44.3754;95;DESCENDING;S1B;;;;;0.2149;2017-03-24 05:17:15;;;;;0.0520;0.0090;95;DESCENDING;S1B;45.3214
1;2017-03-25 17:06:21;0.0800;0.0203;43.9461;117;ASCENDING;S1B;0.8351;0.6682;11.1458;0.3858;0.2533;2017-03-25 17:06:21;0.0673;0.0139;44.6843;117;ASCENDING;S1B;0.7652;0.3186;10.0000;0.3347;0.2065;2017-03-25 17:06:21;0.0981;0.0162;43.7298;117;ASCENDING;S1B;0.8582;0.1826;12.2812;0.5049;0.1650;2017-03-25 17:06:21;0.8290;11.1423;0.3664;0.3898;0.0818;0.0168;117;ASCENDING;S1B;44.1200;2017-03-25 17:06:21;0.0843;0.0077;42.5085;117;ASCENDING;S1B;0.5908;0.7566;10.2812;0.1264;0.0916;2017-03-25 17:06:21;0.1425;0.0069;43.6918;117;ASCENDING;S1B;0.4505;0.5253;8.7083;0.0603;0.0482;2017-03-25 17:06:21;0.1193;0.0117;43.4902;117;ASCENDING;S1B;0.4058;0.2985;9.1458;0.2236;0.0977;2017-03-25 17:06:21;0.5066;9.3785;0.1485;0.5268;0.1154;0.0087;117;ASCENDING;S1B;43.2301;2017-03-25 17:06:21;0.0690;0.0117;43.8395;117;ASCENDING;S1B;0.8074;0.6272;14.0000;0.2651;0.1694;2017-03-25 17:06:21;0.0586;0.0135;42.9253;117;ASCENDING;S1B;0.5952;0.4032;12.2812;0.3727;0.2305;2017-03-25 17:06:21;0.0560;0.0117;42.5246;117;ASCENDING;S1B;0.5941;;12.4271;0.3336;0.2085;2017-03-25 17:06:21;0.7247;12.9028;0.3402;0.5152;0.0612;0.0123;117;ASCENDING;S1B;43.0965;2017-03-25 17:06:21;0.0596;0.0142;40.8322;117;ASCENDING;S1B;;;;;0.2375;2017-03-25 17:06:21;0.0687;0.0099;42.5793;117;ASCENDING;S1B;;;;;0.1441;2017-03-25 17:06:21;0.0390;0.0145;43.3024;117;ASCENDING;S1B;;;;;0.3718;2017-03-25 17:06:21;;;;;0.0558;0.0129;117;ASCENDING;S1B;42.2380
2;2017-03-26 16:58:53;0.0977;0.0139;34.7334;44;ASCENDING;S1A;0.9589;0.6538;10.6667;0.4404;0.1422;2017-03-26 16:58:53;0.0792;0.0155;35.4321;44;ASCENDING;S1A;0.9508;0.3106;10.0000;0.3647;0.1952;2017-03-26 16:58:53;0.0736;0.0151;34.6098;44;ASCENDING;S1A;0.8597;0.1784;13.0000;0.5490;0.2053;2017-03-26 16:58:53;0.9209;11.2222;0.3839;0.3809;0.0835;0.0148;44;ASCENDING;S1A;34.9251;2017-03-26 16:58:53;0.1175;0.0092;33.4299;44;ASCENDING;S1A;0.7304;0.7466;11.0000;0.1807;0.0785;2017-03-26 16:58:53;0.1799;0.0142;34.5993;44;ASCENDING;S1A;0.5014;0.5200;9.6667;0.0911;0.0787;2017-03-26 16:58:53;0.1172;0.0107;34.2617;44;ASCENDING;S1A;0.3954;0.3031;8.6667;0.2264;0.0915;2017-03-26 16:58:53;0.5461;9.7778;0.1801;0.5232;0.1382;0.0114;44;ASCENDING;S1A;34.0970;2017-03-26 16:58:53;0.1321;0.0199;34.6557;44;ASCENDING;S1A;0.9506;0.6180;14.0000;0.2236;0.1503;2017-03-26 16:58:53;0.1048;0.0152;33.8598;44;ASCENDING;S1A;0.6965;0.4013;13.0000;0.4119;0.1451;2017-03-26 16:58:53;0.1192;0.0135;33.3346;44;ASCENDING;S1A;0.6796;;12.6667;0.4409;0.1131;2017-03-26 16:58:53;0.7784;13.2222;0.3617;0.5096;0.1187;0.0162;44;ASCENDING;S1A;33.9500;2017-03-26 16:58:53;0.1083;0.0137;31.5899;44;ASCENDING;S1A;;;;;0.1269;2017-03-26 16:58:53;0.0729;0.0212;33.4033;44;ASCENDING;S1A;;;;;0.2910;2017-03-26 16:58:53;0.0893;0.0130;34.0115;44;ASCENDING;S1A;;;;;0.1453;2017-03-26 16:58:53;;;;;0.0901;0.0160;44;ASCENDING;S1A;33.0016
3;2017-03-29 05:25:29;0.0835;0.0238;34.3083;168;DESCENDING;S1B;1.2663;0.6151;12.7188;0.5621;0.2852;2017-03-29 05:25:29;0.0940;0.0167;34.1137;168;DESCENDING;S1B;1.2820;0.2801;12.5677;0.4177;0.1775;2017-03-29 05:25:29;0.1002;0.0225;34.7675;168;DESCENDING;S1B;0.9371;0.1680;15.6615;0.5996;0.2245;2017-03-29 05:25:29;1.1447;13.6493;0.4541;0.3544;0.0926;0.0210;168;DESCENDING;S1B;34.3965;2017-03-29 05:25:29;0.0378;0.0076;36.3866;168;DESCENDING;S1B;0.9290;0.7295;12.4531;0.2466;0.2022;2017-03-29 05:25:29;0.0726;0.0061;34.4455;168;DESCENDING;S1B;0.5649;0.5070;10.5469;0.1253;0.0839;2017-03-29 05:25:29;0.0827;0.0098;34.2489;168;DESCENDING;S1B;0.4072;0.3098;9.3594;0.2186;0.1190;2017-03-29 05:25:29;0.6063;10.7864;0.2143;0.5154;0.0644;0.0079;168;DESCENDING;S1B;35.0270;2017-03-29 05:25:29;0.0754;0.0158;35.6905;168;DESCENDING;S1B;1.2247;0.6616;15.2083;0.1981;0.2090;2017-03-29 05:25:29;0.0824;0.0138;35.7596;168;DESCENDING;S1B;0.9600;0.4011;15.5104;0.4494;0.1676;2017-03-29 05:25:29;0.0595;0.0120;35.8977;168;DESCENDING;S1B;0.9007;;14.8125;0.6109;0.2014;2017-03-29 05:25:29;0.9458;15.1771;0.4044;0.5313;0.0724;0.0138;168;DESCENDING;S1B;35.7826;2017-03-29 05:25:29;0.0769;0.0181;38.2109;168;DESCENDING;S1B;;;;;0.2355;2017-03-29 05:25:29;0.0831;0.0160;35.8722;168;DESCENDING;S1B;;;;;0.1929;2017-03-29 05:25:29;0.0635;0.0159;35.6627;168;DESCENDING;S1B;;;;;0.2508;2017-03-29 05:25:29;;;;;0.0745;0.0167;168;DESCENDING;S1B;36.5820
4;2017-03-30 05:18:04;0.0728;0.0174;43.1733;95;DESCENDING;S1A;1.3782;0.6030;14.9688;0.5999;0.2395;2017-03-30 05:18:04;0.0610;0.0144;42.5770;95;DESCENDING;S1A;1.3423;0.2762;14.6927;0.4272;0.2352;2017-03-30 05:18:04;0.0571;0.0166;44.0555;95;DESCENDING;S1A;0.9995;0.1613;17.0365;0.5907;0.2905;2017-03-30 05:18:04;1.2241;15.5660;0.4920;0.3468;0.0636;0.0161;95;DESCENDING;S1A;43.2686;2017-03-30 05:18:04;0.0280;0.0033;45.1318;95;DESCENDING;S1A;0.9326;0.7192;12.8281;0.2387;0.1190;2017-03-30 05:18:04;0.0571;0.0060;43.2370;95;DESCENDING;S1A;0.5589;0.5062;10.1719;0.1182;0.1046;2017-03-30 05:18:04;0.0471;0.0060;43.1376;95;DESCENDING;S1A;0.4290;0.3041;10.4844;0.2088;0.1282;2017-03-30 05:18:04;0.6106;11.1614;0.2063;0.5099;0.0441;0.0051;95;DESCENDING;S1A;43.8355;2017-03-30 05:18:04;0.0436;0.0086;44.0325;95;DESCENDING;S1A;1.2867;0.6450;16.2083;0.2246;0.1977;2017-03-30 05:18:04;0.0477;0.0112;44.7005;95;DESCENDING;S1A;1.0615;0.4019;16.7604;0.4354;0.2336;2017-03-30 05:18:04;0.0603;0.0123;44.5912;95;DESCENDING;S1A;0.9852;;16.3125;0.6280;0.2044;2017-03-30 05:18:04;1.0225;16.4271;0.4150;0.5234;0.0506;0.0107;95;DESCENDING;S1A;44.4414;2017-03-30 05:18:04;0.0456;0.0141;46.5574;95;DESCENDING;S1A;;;;;0.3094;2017-03-30 05:18:04;0.0388;0.0083;44.7005;95;DESCENDING;S1A;;;;;0.2134;2017-03-30 05:18:04;0.0200;0.0097;44.3621;95;DESCENDING;S1A;;;;;0.4839;2017-03-30 05:18:04;;;;;0.0348;0.0107;95;DESCENDING;S1A;45.2067
5;2017-03-31 17:07:04;0.1017;0.0257;43.9364;117;ASCENDING;S1A;1.5460;0.5949;18.3438;0.6566;0.2526;2017-03-31 17:07:04;0.1090;0.0182;44.6714;117;ASCENDING;S1A;1.4329;0.2679;17.8802;0.4414;0.1674;2017-03-31 17:07:04;0.1141;0.0267;43.8607;117;ASCENDING;S1A;1.0931;0.1606;19.0990;0.5772;0.2340;2017-03-31 17:07:04;1.3432;18.4410;0.5489;0.3411;0.1083;0.0235;117;ASCENDING;S1A;44.1562;2017-03-31 17:07:04;0.0502;0.0054;42.5249;117;ASCENDING;S1A;0.9380;0.6912;13.3906;0.2267;0.1068;2017-03-31 17:07:04;0.0762;0.0064;43.8843;117;ASCENDING;S1A;0.5499;0.4952;9.6094;0.1074;0.0837;2017-03-31 17:07:04;0.0663;0.0070;43.4810;117;ASCENDING;S1A;0.4617;0.2905;12.1719;0.1941;0.1054;2017-03-31 17:07:04;0.6170;11.7239;0.1943;0.4923;0.0642;0.0062;117;ASCENDING;S1A;43.2967;2017-03-31 17:07:04;0.0582;0.0137;43.7357;117;ASCENDING;S1A;1.3798;0.6443;17.7083;0.2644;0.2346;2017-03-31 17:07:04;0.0547;0.0124;42.6987;117;ASCENDING;S1A;1.2138;0.3959;18.6354;0.4144;0.2268;2017-03-31 17:07:04;0.0572;0.0148;42.5290;117;ASCENDING;S1A;1.1120;;18.5625;0.6536;0.2583;2017-03-31 17:07:04;1.1375;18.3021;0.4310;0.5201;0.0567;0.0136;117;ASCENDING;S1A;42.9878;2017-03-31 17:07:04;0.0669;0.0205;40.7272;117;ASCENDING;S1A;;;;;0.3062;2017-03-31 17:07:04;0.0463;0.0128;42.5124;117;ASCENDING;S1A;;;;;0.2773;2017-03-31 17:07:04;0.0561;0.0091;42.9895;117;ASCENDING;S1A;;;;;0.1627;2017-03-31 17:07:04;;;;;0.0565;0.0142;117;ASCENDING;S1A;42.0764
6;2017-04-04 05:26:13;0.1165;0.0233;34.8008;168;DESCENDING;S1A;1.9375;0.5743;26.2188;0.7889;0.1998;2017-04-04 05:26:13;0.1469;0.0204;34.9973;168;DESCENDING;S1A;1.6440;0.2399;25.3177;0.4745;0.1391;2017-04-04 05:26:13;0.0747;0.0155;36.0511;168;DESCENDING;S1A;1.3116;0.1445;23.9115;0.5457;0.2074;2017-04-04 05:26:13;1.6211;25.1493;0.6818;0.3196;0.1127;0.0197;168;DESCENDING;S1A;35.2830;2017-04-04 05:26:13;0.0962;0.0101;36.5608;168;DESCENDING;S1A;0.9506;0.6881;14.7031;0.1987;0.1051;2017-04-04 05:26:13;0.0916;0.0108;34.6535;168;DESCENDING;S1A;0.5290;0.4786;8.2969;0.0824;0.1179;2017-04-04 05:26:13;0.1230;0.0134;34.2795;168;DESCENDING;S1A;0.5380;0.2963;16.1094;0.1598;0.1089;2017-04-04 05:26:13;0.6321;13.0364;0.1663;0.4877;0.1036;0.0114;168;DESCENDING;S1A;35.1646;2017-04-04 05:26:13;0.0872;0.0108;34.8517;168;DESCENDING;S1A;1.5968;0.6981;21.2083;0.3572;0.1233;2017-04-04 05:26:13;0.0655;0.0100;37.2668;168;DESCENDING;S1A;1.5690;0.4139;23.0104;0.3655;0.1525;2017-04-04 05:26:13;0.0656;0.0147;35.7947;168;DESCENDING;S1A;1.4077;;23.8125;0.7134;0.2238;2017-04-04 05:26:13;1.4059;22.6771;0.4684;0.5560;0.0728;0.0118;168;DESCENDING;S1A;35.9711;2017-04-04 05:26:13;0.0512;0.0162;36.9463;168;DESCENDING;S1A;;;;;0.3169;2017-04-04 05:26:13;0.0708;0.0208;36.2676;168;DESCENDING;S1A;;;;;0.2936;2017-04-04 05:26:13;0.0455;0.0205;35.8398;168;DESCENDING;S1A;;;;;0.4502;2017-04-04 05:26:13;;;;;0.0558;0.0192;168;DESCENDING;S1A;36.3512
7;2017-04-05 05:17:15;0.0875;0.0180;43.0770;95;DESCENDING;S1B;2.0658;0.5700;28.1667;0.8346;0.2060;2017-04-05 05:17:15;0.0840;0.0235;42.9738;95;DESCENDING;S1B;1.7066;0.2377;26.9167;0.4896;0.2792;2017-04-05 05:17:15;0.0831;0.0168;43.4467;95;DESCENDING;S1B;1.3948;0.1437;25.0417;0.5402;0.2018;2017-04-05 05:17:15;1.7142;26.7084;0.7211;0.3171;0.0849;0.0194;95;DESCENDING;S1B;43.1658;2017-04-05 05:17:15;0.0412;0.0085;45.0851;95;DESCENDING;S1B;0.9455;0.6779;15.0833;0.1895;0.2056;2017-04-05 05:17:15;0.0636;0.0072;43.0477;95;DESCENDING;S1B;0.5179;0.4755;8.1667;0.0756;0.1130;2017-04-05 05:17:15;0.0769;0.0138;43.0773;95;DESCENDING;S1B;0.5722;0.2944;17.0000;0.1534;0.1795;2017-04-05 05:17:15;0.6379;13.4166;0.1561;0.4826;0.0606;0.0098;95;DESCENDING;S1B;43.7367;2017-04-05 05:17:15;0.0510;0.0099;44.1517;95;DESCENDING;S1B;1.6631;0.7131;22.2083;0.4016;0.1944;2017-04-05 05:17:15;0.0430;0.0120;45.3075;95;DESCENDING;S1B;1.6880;0.4172;24.0833;0.3608;0.2799;2017-04-05 05:17:15;0.0572;0.0153;44.7554;95;DESCENDING;S1B;1.5054;;24.8750;0.7309;0.2672;2017-04-05 05:17:15;1.5002;23.7223;0.4888;0.5651;0.0504;0.0124;95;DESCENDING;S1B;44.7382;2017-04-05 05:17:15;0.0623;0.0181;46.8311;95;DESCENDING;S1B;;;;;0.2904;2017-04-05 05:17:15;0.0459;0.0145;44.7810;95;DESCENDING;S1B;;;;;0.3171;2017-04-05 05:17:15;0.0590;0.0151;44.4426;95;DESCENDING;S1B;;;;;0.2563;2017-04-05 05:17:15;;;;;0.0557;0.0159;95;DESCENDING;S1B;45.3516
8;2017-04-06 17:06:22;0.0695;0.0167;43.9755;117;ASCENDING;S1B;2.3517;0.5389;29.3667;0.9485;0.2409;2017-04-06 17:06:22;0.1042;0.0205;44.6909;117;ASCENDING;S1B;1.8134;0.2326;26.3167;0.5440;0.1970;2017-04-06 17:06:22;0.0589;0.0189;43.7535;117;ASCENDING;S1B;1.6384;0.1406;25.3417;0.5514;0.3213;2017-04-06 17:06:22;1.9321;27.0084;0.7883;0.3041;0.0775;0.0187;117;ASCENDING;S1B;44.1400;2017-04-06 17:06:22;0.0375;0.0051;42.4731;117;ASCENDING;S1B;0.8877;0.6726;15.6833;0.1687;0.1367;2017-04-06 17:06:22;0.0616;0.0093;43.6602;117;ASCENDING;S1B;0.4718;0.4809;9.3667;0.0680;0.1509;2017-04-06 17:06:22;0.0607;0.0097;43.6077;117;ASCENDING;S1B;0.6942;0.2886;17.0000;0.1635;0.1597;2017-04-06 17:06:22;0.6555;14.0166;0.1278;0.4807;0.0532;0.0080;117;ASCENDING;S1B;43.2470;2017-04-06 17:06:22;0.0332;0.0094;43.7998;117;ASCENDING;S1B;1.7867;0.7300;23.7083;0.5701;0.2846;2017-04-06 17:06:22;0.0322;0.0090;42.8592;117;ASCENDING;S1B;1.9662;0.4105;24.6833;0.4065;0.2807;2017-04-06 17:06:22;0.0498;0.0146;42.5466;117;ASCENDING;S1B;1.7275;;23.9750;0.7600;0.2935;2017-04-06 17:06:22;1.7418;24.1222;0.5751;0.5702;0.0384;0.0110;117;ASCENDING;S1B;43.0685;2017-04-06 17:06:22;0.0321;0.0110;40.9984;117;ASCENDING;S1B;;;;;0.3411;2017-04-06 17:06:22;0.0362;0.0111;42.5717;117;ASCENDING;S1B;;;;;0.3075;2017-04-06 17:06:22;0.0407;0.0108;43.2464;117;ASCENDING;S1B;;;;;0.2641;2017-04-06 17:06:22;;;;;0.0363;0.0109;117;ASCENDING;S1B;42.2722
